openiti_uri,bnf_id,bnf_field,openiti_field,query,target,score_simple,score_token_set,match_0.7,match_0.75,match_0.8,match_0.85,match_0.9,is_expected
0732AbuFida.MukhtasarFiAkhbar,OAI_10884186,all_ara,all_ara,‬مختصر في أخبار البشر,المختصر في أخبار البشر,93.00,95.00,True,,,,,True
0732AbuFida.MukhtasarFiAkhbar,OAI_10884186,all_ara,all_ara,‬مختصر في أخبار البشر,المختصر في أخبار البشر,93.00,95.00,,True,,,,True
0732AbuFida.MukhtasarFiAkhbar,OAI_10884186,all_ara,all_ara,‬مختصر في أخبار البشر,المختصر في أخبار البشر,93.00,95.00,,,True,,,True
0732AbuFida.MukhtasarFiAkhbar,OAI_10884186,all_ara,all_ara,‬مختصر في أخبار البشر,المختصر في أخبار البشر,93.00,95.00,,,,True,,True
0732AbuFida.MukhtasarFiAkhbar,OAI_10884186,all_ara,all_ara,‬مختصر في أخبار البشر,المختصر في أخبار البشر,93.00,95.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Aḥmad ibn ʿAlī al-Maqrīzī.,Awzan Wa Akyal,35.00,41.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Aḥmad ibn ʿAlī al-Maqrīzī.,Awzan Wa Akyal,35.00,41.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Aḥmad ibn ʿAlī al-Maqrīzī.,Awzan Wa Akyal,35.00,41.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Aḥmad ibn ʿAlī al-Maqrīzī.,Awzan Wa Akyal,35.00,41.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Aḥmad ibn ʿAlī al-Maqrīzī.,Awzan Wa Akyal,35.00,41.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",Kitāb al-Awzān wa-l-Akyāl al-Sharʿīya,10.00,22.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",Kitāb al-Awzān wa-l-Akyāl al-Sharʿīya,10.00,22.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",Kitāb al-Awzān wa-l-Akyāl al-Sharʿīya,10.00,22.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",Kitāb al-Awzān wa-l-Akyāl al-Sharʿīya,10.00,22.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",Kitāb al-Awzān wa-l-Akyāl al-Sharʿīya,10.00,22.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,"GALLAND, Antoine.",Bayan,9.00,30.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,"GALLAND, Antoine.",Bayan,9.00,30.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,"GALLAND, Antoine.",Bayan,9.00,30.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,"GALLAND, Antoine.",Bayan,9.00,30.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,"GALLAND, Antoine.",Bayan,9.00,30.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,الكواكب السائرة في أخبار مصر والقاهرة,البيان والإعراب عما بأرض مصر من الأعراب,50.00,50.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,الكواكب السائرة في أخبار مصر والقاهرة,البيان والإعراب عما بأرض مصر من الأعراب,50.00,50.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,الكواكب السائرة في أخبار مصر والقاهرة,البيان والإعراب عما بأرض مصر من الأعراب,50.00,50.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,الكواكب السائرة في أخبار مصر والقاهرة,البيان والإعراب عما بأرض مصر من الأعراب,50.00,50.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,الكواكب السائرة في أخبار مصر والقاهرة,البيان والإعراب عما بأرض مصر من الأعراب,50.00,50.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,"ASCARI, Joseph.",Daw Sari,9.00,48.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,"ASCARI, Joseph.",Daw Sari,9.00,48.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,"ASCARI, Joseph.",Daw Sari,9.00,48.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,"ASCARI, Joseph.",Daw Sari,9.00,48.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,"ASCARI, Joseph.",Daw Sari,9.00,48.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,الكواكب السائرة في أخبار مصر والقاهرة,الضوء الساري في معرفة خبر تميم الداري - مخطوط,56.00,55.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,الكواكب السائرة في أخبار مصر والقاهرة,الضوء الساري في معرفة خبر تميم الداري - مخطوط,56.00,55.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,الكواكب السائرة في أخبار مصر والقاهرة,الضوء الساري في معرفة خبر تميم الداري - مخطوط,56.00,55.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,الكواكب السائرة في أخبار مصر والقاهرة,الضوء الساري في معرفة خبر تميم الداري - مخطوط,56.00,55.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,الكواكب السائرة في أخبار مصر والقاهرة,الضوء الساري في معرفة خبر تميم الداري - مخطوط,56.00,55.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Dhahab Masbuk,23.00,35.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Dhahab Masbuk,23.00,35.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Dhahab Masbuk,23.00,35.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Dhahab Masbuk,23.00,35.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Dhahab Masbuk,23.00,35.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",al-Dhahab al-Masbūk fī dhikr man ḥajja min al-khulafāʾ wa-l-mulūk,16.00,22.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",al-Dhahab al-Masbūk fī dhikr man ḥajja min al-khulafāʾ wa-l-mulūk,16.00,22.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",al-Dhahab al-Masbūk fī dhikr man ḥajja min al-khulafāʾ wa-l-mulūk,16.00,22.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",al-Dhahab al-Masbūk fī dhikr man ḥajja min al-khulafāʾ wa-l-mulūk,16.00,22.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",al-Dhahab al-Masbūk fī dhikr man ḥajja min al-khulafāʾ wa-l-mulūk,16.00,22.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),Durar al-ʿuqūd al-farīdaŧ fī tarāǧim al-aʿyān al-mufīdaŧ,41.00,47.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),Durar al-ʿuqūd al-farīdaŧ fī tarāǧim al-aʿyān al-mufīdaŧ,41.00,47.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),Durar al-ʿuqūd al-farīdaŧ fī tarāǧim al-aʿyān al-mufīdaŧ,41.00,47.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),Durar al-ʿuqūd al-farīdaŧ fī tarāǧim al-aʿyān al-mufīdaŧ,41.00,47.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),Durar al-ʿuqūd al-farīdaŧ fī tarāǧim al-aʿyān al-mufīdaŧ,41.00,47.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,درر العقود الفريدة في تراجم الأعيان المفيدة,47.00,55.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,درر العقود الفريدة في تراجم الأعيان المفيدة,47.00,55.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,درر العقود الفريدة في تراجم الأعيان المفيدة,47.00,55.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,درر العقود الفريدة في تراجم الأعيان المفيدة,47.00,55.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,درر العقود الفريدة في تراجم الأعيان المفيدة,47.00,55.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Aḥmad ibn ʿAlī al-Maqrīzī.,Fadl Al Bayt,37.00,43.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Aḥmad ibn ʿAlī al-Maqrīzī.,Fadl Al Bayt,37.00,43.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Aḥmad ibn ʿAlī al-Maqrīzī.,Fadl Al Bayt,37.00,43.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Aḥmad ibn ʿAlī al-Maqrīzī.,Fadl Al Bayt,37.00,43.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Aḥmad ibn ʿAlī al-Maqrīzī.,Fadl Al Bayt,37.00,43.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,‬مختصر في أخبار البشر,فضل آل البيت,36.00,38.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,‬مختصر في أخبار البشر,فضل آل البيت,36.00,38.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,‬مختصر في أخبار البشر,فضل آل البيت,36.00,38.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,‬مختصر في أخبار البشر,فضل آل البيت,36.00,38.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,‬مختصر في أخبار البشر,فضل آل البيت,36.00,38.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Ighatha Umma,29.00,42.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Ighatha Umma,29.00,42.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Ighatha Umma,29.00,42.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Ighatha Umma,29.00,42.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Ighatha Umma,29.00,42.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Ilmam,22.00,31.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Ilmam,22.00,31.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Ilmam,22.00,31.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Ilmam,22.00,31.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Ilmam,22.00,31.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",al-Ilmām bi-Akhbār man bi-Arḍ al-Ḥabasha min Mulūk al-Islām,17.00,22.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",al-Ilmām bi-Akhbār man bi-Arḍ al-Ḥabasha min Mulūk al-Islām,17.00,22.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",al-Ilmām bi-Akhbār man bi-Arḍ al-Ḥabasha min Mulūk al-Islām,17.00,22.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",al-Ilmām bi-Akhbār man bi-Arḍ al-Ḥabasha min Mulūk al-Islām,17.00,22.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",al-Ilmām bi-Akhbār man bi-Arḍ al-Ḥabasha min Mulūk al-Islām,17.00,22.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Imtac Asmac,30.00,44.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Imtac Asmac,30.00,44.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Imtac Asmac,30.00,44.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Imtac Asmac,30.00,44.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muḥammad Niʿmat Allah.,Imtac Asmac,30.00,44.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,إمتاع الأسماع بما للنبي من الأحوال و الأموال و الحفدة و المتاع‏ - الجزء1,49.00,53.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,إمتاع الأسماع بما للنبي من الأحوال و الأموال و الحفدة و المتاع‏ - الجزء1,49.00,53.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,إمتاع الأسماع بما للنبي من الأحوال و الأموال و الحفدة و المتاع‏ - الجزء1,49.00,53.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,إمتاع الأسماع بما للنبي من الأحوال و الأموال و الحفدة و المتاع‏ - الجزء1,49.00,53.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,إمتاع الأسماع بما للنبي من الأحوال و الأموال و الحفدة و المتاع‏ - الجزء1,49.00,53.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Kawākib al-sāʾira fī aẖbār Miṣr wa-al-Qāhira (al-),ʾIttiʿāẓ al-ḥunafā bi-aḫbār al-ʾaʾimmaŧ al-Fāṭimiyyīn al-ḫulafā,42.00,46.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Kawākib al-sāʾira fī aẖbār Miṣr wa-al-Qāhira (al-),ʾIttiʿāẓ al-ḥunafā bi-aḫbār al-ʾaʾimmaŧ al-Fāṭimiyyīn al-ḫulafā,42.00,46.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Kawākib al-sāʾira fī aẖbār Miṣr wa-al-Qāhira (al-),ʾIttiʿāẓ al-ḥunafā bi-aḫbār al-ʾaʾimmaŧ al-Fāṭimiyyīn al-ḫulafā,42.00,46.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Kawākib al-sāʾira fī aẖbār Miṣr wa-al-Qāhira (al-),ʾIttiʿāẓ al-ḥunafā bi-aḫbār al-ʾaʾimmaŧ al-Fāṭimiyyīn al-ḫulafā,42.00,46.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Kawākib al-sāʾira fī aẖbār Miṣr wa-al-Qāhira (al-),ʾIttiʿāẓ al-ḥunafā bi-aḫbār al-ʾaʾimmaŧ al-Fāṭimiyyīn al-ḫulafā,42.00,46.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,إتعاظ الحنفا بأخبار الأإمة الفاطميين الخلفا,45.00,45.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,إتعاظ الحنفا بأخبار الأإمة الفاطميين الخلفا,45.00,45.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,إتعاظ الحنفا بأخبار الأإمة الفاطميين الخلفا,45.00,45.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,إتعاظ الحنفا بأخبار الأإمة الفاطميين الخلفا,45.00,45.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,إسماعيل بن علي أبو الفداء الحموي الملك المؤيد.,إتعاظ الحنفا بأخبار الأإمة الفاطميين الخلفا,45.00,45.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),Khabar Can Bashar,37.00,42.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),Khabar Can Bashar,37.00,42.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),Khabar Can Bashar,37.00,42.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),Khabar Can Bashar,37.00,42.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_lat,all_lat,Muẖtaṣar fi aẖbār al-bašar (al-),Khabar Can Bashar,37.00,42.00,,,,,True,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",kitāb al-Khabar ʿan al-Bashar Fī ’ansāb al-‘Arab wa Nasab Sayyed al-Bashar,18.00,21.00,True,,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",kitāb al-Khabar ʿan al-Bashar Fī ’ansāb al-‘Arab wa Nasab Sayyed al-Bashar,18.00,21.00,,True,,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",kitāb al-Khabar ʿan al-Bashar Fī ’ansāb al-‘Arab wa Nasab Sayyed al-Bashar,18.00,21.00,,,True,,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",kitāb al-Khabar ʿan al-Bashar Fī ’ansāb al-‘Arab wa Nasab Sayyed al-Bashar,18.00,21.00,,,,True,,True
0845Maqrizi,OAI_10884186,all_ara,all_ara,"محمد بن محمد بن شاهنشاه , منسوب إلى. Auteur prétendu du texte",kitāb al-Khabar ʿan al-Bashar Fī ’ansāb al-‘Arab wa Nasab Sayyed al-Bashar,18.00,21.00,,,,,True,True
